review_text,rating,author,date,nama desa wisata,provinsi
"Disini saya ikut Shooting Film bareng masyarakat di Gampong Nusa, mereka ramah-ramah sekali, kalau di ajak shooting juga pada happy semua. Terimakasih Warga Gampong Nusa",5,Awien syuib,2025-06-30T06:01:40.501Z,Gampong Nusa,Aceh
Gampong nusa kecamatan Lhoknga,5,Cut Sukma Amelia,2025-02-09T06:43:59.644Z,Gampong Nusa,Aceh
"tempat bersih di perkampungan dengan view sawah dan gunung,cocok untuk bersantai dengan keluarga",5,teja,2025-01-01T00:55:36.234Z,Gampong Nusa,Aceh
Nusa Indah...,5,Zulfitra Aceh,2024-09-05T16:04:19.025Z,Gampong Nusa,Aceh
Ok lah,4,Azizah Aja,2024-07-12T04:52:03.863Z,Gampong Nusa,Aceh
Viewnya akan more amazing kalau datang kesini lagi musim padi di sawah 🍃,5,Nurul Mawari,2024-07-11T15:00:57.824Z,Gampong Nusa,Aceh
"Desa nya sangat indah, pemandangan nya luar biasa. Serta masyarakat nya ramah2 sama pengunjung. Thx desa nusa",5,Hanafi Akbar,2024-05-18T04:33:21.864Z,Gampong Nusa,Aceh
Ini tempat yang cocok untuk berimajinasi dan bagus untuk berlibur,3,Muslim Lemari,2024-04-10T08:28:14.269Z,Gampong Nusa,Aceh
"Cocok bagi yg ingin wisata tradisional, ada home stay, murah, tdk jauh dari kota",5,Miji Karya,2024-03-13T14:47:18.155Z,Gampong Nusa,Aceh
"Tempatnya adem, damai dan bersih",5,Tukang Logam,2024-02-14T06:06:09.882Z,Gampong Nusa,Aceh
"Desa yang indah dengan pemandangan alam pegunungan hijau tinggi menjulang, areal persawahan hijau, sungai yg mengalir dan masyarakat yang ramah. Anda bisa mengadakan family gatering dengan berkemah, bermain disungai, berfoto di spot spot indah yg baanyak ada didesa Nusa. Anda juga bisa menginap di home stay yg ada disediakan didesa ini yg dikelola oleh kelompok masyarakat desa Nusa. Selamat menikmati liburan ataau petualangan didesa ini...",5,muhammad mustika,2024-02-02T16:01:41.613Z,Gampong Nusa,Aceh
Kampung wisata Nusa,4,Panji Wijaya,2024-01-07T03:09:00.599Z,Gampong Nusa,Aceh
Destinasi utk mengenang kedahsyatan tsunami 26 desember 2004 yang melanda Aceh dan beberapa negara lain menelan korban ratusan ribu orang.,5,Erlan BAKO ALAFAN,2023-09-19T22:56:30.637Z,Gampong Nusa,Aceh
Best,5,Rizky J. Pratama,2023-08-22T12:10:32.445Z,Gampong Nusa,Aceh
"Saya bangga melihat keindahan alam Gampong Nusa, Lhoknga,Aceh Besar, tempatnya begitu indah dan selalu terawat dengan rapi..saya selalu terkesan Gampong Nusa yang merupakan tempat ayahku dan Abangnya yg pernah menetap hingga kami sampai sa'at ini terjalin silaturahmi yang kuat dengan keluarga tempat ayahku tinggal",5,M.Q.A Channel,2023-07-15T01:16:34.639Z,Gampong Nusa,Aceh
Luar biasa favorit 👍,5,Dek “ja” ka tsaba,2022-11-27T14:03:04.461Z,Gampong Nusa,Aceh
"Bagus, pengelola juga ramah... Aceh keren..👍",5,Erdian JK,2022-06-09T11:19:04.733Z,Gampong Nusa,Aceh
Great village life,5,irwan mahdi (Irwan),2022-06-08T07:43:59.743Z,Gampong Nusa,Aceh
"Yaaaa..
Begitulah....",4,Iqbal Aceh,2022-04-27T10:33:16.362Z,Gampong Nusa,Aceh
Love it like a lot!!! They're view are awesome!,5,Hafidz Hakamashe,2022-03-24T10:27:09.354Z,Gampong Nusa,Aceh
Alam nya indah,2,Mazizah Husien,2022-03-23T06:53:39.025Z,Gampong Nusa,Aceh
"Kampung hijau, bersih, udara sejuk dan bagus untuk berita keluarga.",5,poe2n mumanda,2022-02-12T07:14:21.900Z,Gampong Nusa,Aceh
Amazing,5,El Fahmi,2022-02-05T06:57:35.539Z,Gampong Nusa,Aceh
"Desa wisata yg diinisiasi oleh masyarakatnya.. tdk hanya ""menjual"" pemandangan namun juga local wisdom dan budaya2 Aceh termasuk makanannya (kuliner Aceh). Mrk juga punya homestay, kesenian local oleh anak2 muda, handycraft dr recycle sampah, punya event tahunan (Nusa Festival) dan lain-lain... (foto2 menyusul yaa hehehe)",5,Ratna Sary,2022-01-28T15:48:43.353Z,Gampong Nusa,Aceh
"Desa Wisata Terbaik Nasional 2021
#aceh",4,cek 8ulq,2022-01-11T11:02:02.324Z,Gampong Nusa,Aceh
